1,0.72369,0.874782,0.845149,0.122734,0.035546,0.16268,-0.0221736,-0.073724,0.640707,0.75506,0.774673,0.691913,
0.72369,0.956209,0.909905,0.892434,-0.208865,0.461889,0.101185,0.253439,0.0803096,0.524955,0.5037,0.641334,0.519467,
0.874782,0.909905,0.533631,0.933102,-0.0736674,0.331272,0.110104,0.176488,0.0299258,0.585803,0.669025,0.767433,0.646572,
0.845149,0.892434,0.933102,0.494868,0.0870194,0.277993,0.170007,0.15403,0.0414114,0.745375,0.754844,0.852687,0.764903,
0.122734,-0.208865,-0.0736674,0.0870194,0.471296,-0.436084,0.0488209,-0.256232,-0.0899808,0.573549,0.588111,0.512193,0.621618,
0.035546,0.461889,0.331272,0.277993,-0.436084,0.298724,-0.00442725,0.817139,0.526451,-0.0530088,-0.138452,-0.00117398,-0.0958468,
0.16268,0.101185,0.110104,0.170007,0.0488209,-0.00442725,0.0831403,0.103307,0.128351,0.00828427,-9.00792e-06,0.0373225,0.0125001,
-0.0221736,0.253439,0.176488,0.15403,-0.256232,0.817139,0.103307,0.0673301,0.671127,-0.0813047,-0.0841037,-0.0109925,-0.0604396,
-0.073724,0.0803096,0.0299258,0.0414114,-0.0899808,0.526451,0.128351,0.671127,0.0208134,-0.0482274,-0.0689389,-0.0313783,-0.0458922,
0.640707,0.524955,0.585803,0.745375,0.573549,-0.0530088,0.00828427,-0.0813047,-0.0482274,0.00509348,0.885911,0.925062,0.943995,
0.75506,0.5037,0.669025,0.754844,0.588111,-0.138452,-9.00792e-06,-0.0841037,-0.0689389,0.885911,0.00160336,0.971375,0.981001,
0.774673,0.641334,0.767433,0.852687,0.512193,-0.00117398,0.0373225,-0.0109925,-0.0313783,0.925062,0.971375,0.000891844,0.984555,
0.691913,0.519467,0.646572,0.764903,0.621618,-0.0958468,0.0125001,-0.0604396,-0.0458922,0.943995,0.981001,0.984555,8.34159e-07,
